"","HGNC.ID","Approved.symbol"
"568","HGNC:6473","AFF3"
"569","HGNC:17869","AFF4"
"570","HGNC:314","AFG3L1P"
"571","HGNC:315","AFG3L2"
"572","HGNC:24169","AFG3L2P1"
"573","HGNC:316","AFM"
"574","HGNC:20910","AFMID"
"575","HGNC:317","AFP"
"576","HGNC:25951","AFTPH"
"577","HGNC:318","AGA"
"578","HGNC:16922","AGAP1"
"579","HGNC:41427","AGAP1-IT1"
"580","HGNC:16921","AGAP2"
"581","HGNC:48633","AGAP2-AS1"
"582","HGNC:16923","AGAP3"
"583","HGNC:23459","AGAP4"
"584","HGNC:23467","AGAP5"
"585","HGNC:23466","AGAP6"
"586","HGNC:23465","AGAP7P"
"587","HGNC:23463","AGAP9"
"588","HGNC:23659","AGAP10P"
"589","HGNC:29421","AGAP11"
"590","HGNC:23661","AGAP12P"
"591","HGNC:23499","AGAP13P"
"592","HGNC:23660","AGAP14"
"593","HGNC:26504","AGBL1"
"594","HGNC:48617","AGBL1-AS1"
"595","HGNC:26296","AGBL2"
"596","HGNC:27981","AGBL3"
"597","HGNC:25892","AGBL4"
"598","HGNC:41482","AGBL4-IT1"
"599","HGNC:26147","AGBL5"
"600","HGNC:41133","AGBL5-AS1"
"601","HGNC:41484","AGBL5-IT1"
"602","HGNC:320","AGER"
"603","HGNC:5175","AGFG1"
"604","HGNC:5177","AGFG2"
"605","HGNC:24684","AGGF1"
"606","HGNC:38051","AGGF1P1"
"607","HGNC:38052","AGGF1P2"
"608","HGNC:38053","AGGF1P3"
"609","HGNC:38054","AGGF1P4"
"610","HGNC:51741","AGGF1P5"
"611","HGNC:51744","AGGF1P6"
"612","HGNC:51740","AGGF1P7"
"613","HGNC:51745","AGGF1P8"
"614","HGNC:51746","AGGF1P9"
"615","HGNC:51747","AGGF1P10"
"616","HGNC:21869","AGK"
"617","HGNC:37661","AGKP1"
"618","HGNC:321","AGL"
"619","HGNC:18407","AGMAT"
"620","HGNC:33784","AGMO"
"621","HGNC:323","AGMX2"
"622","HGNC:3262","AGO1"
"623","HGNC:3263","AGO2"
"624","HGNC:18421","AGO3"
"625","HGNC:18424","AGO4"
"626","HGNC:324","AGPAT1"
"627","HGNC:325","AGPAT2"
"628","HGNC:326","AGPAT3"
"629","HGNC:20885","AGPAT4"
"630","HGNC:20988","AGPAT4-IT1"
"631","HGNC:20886","AGPAT5"
"632","HGNC:37709","AGPAT5P1"
"633","HGNC:327","AGPS"
"634","HGNC:328","AGR2"
"635","HGNC:24167","AGR3"
"636","HGNC:329","AGRN"
"637","HGNC:330","AGRP"
"638","HGNC:333","AGT"
"639","HGNC:17258","AGTPBP1"
"640","HGNC:336","AGTR1"
"641","HGNC:338","AGTR2"
"642","HGNC:13539","AGTRAP"
"643","HGNC:340","AGTRL2"
"644","HGNC:341","AGXT"
"645","HGNC:14412","AGXT2"
"646","HGNC:24618","AHCTF1"
"647","HGNC:24620","AHCTF1P1"
"648","HGNC:343","AHCY"
"649","HGNC:344","AHCYL1"
"650","HGNC:22204","AHCYL2"
"651","HGNC:44993","AHCYP1"
"652","HGNC:44994","AHCYP2"
"653","HGNC:44995","AHCYP3"
"654","HGNC:44996","AHCYP4"
"655","HGNC:44997","AHCYP5"
"656","HGNC:44998","AHCYP6"
"657","HGNC:44999","AHCYP7"
"658","HGNC:45000","AHCYP8"
"659","HGNC:25230","AHDC1"
"660","HGNC:21575","AHI1"
"661","HGNC:347","AHNAK"
"662","HGNC:20125","AHNAK2"
"663","HGNC:348","AHR"
"664","HGNC:346","AHRR"
"665","HGNC:1189","AHSA1"
"666","HGNC:20437","AHSA2"
"667","HGNC:349","AHSG"
"668","HGNC:18075","AHSP"
"669","HGNC:350","AIC"
"670","HGNC:13203","AICDA"
"671","HGNC:25761","AIDA"
"672","HGNC:352","AIF1"
"673","HGNC:28904","AIF1L"
"674","HGNC:8768","AIFM1"
"675","HGNC:44884","AIFM1P1"
"676","HGNC:21411","AIFM2"
"677","HGNC:26398","AIFM3"
"678","HGNC:21607","AIG1"
"679","HGNC:43926","AIG1P1"
"680","HGNC:355","AIH3"
"681","HGNC:356","AIM1"
"682","HGNC:17295","AIM1L"
"683","HGNC:357","AIM2"
"684","HGNC:10648","AIMP1"
"685","HGNC:16543","AIMP1P1"
"686","HGNC:43693","AIMP1P2"
"687","HGNC:20609","AIMP2"
"688","HGNC:358","AIP"
"689","HGNC:359","AIPL1"
"690","HGNC:360","AIRE"
"691","HGNC:34515","AIRN"
"692","HGNC:16304","AIS1"
"693","HGNC:23054","AIS2"
"694","HGNC:23083","AIS3"
"695","HGNC:30801","AJAP1"
"696","HGNC:20250","AJUBA"
"697","HGNC:361","AK1"
"698","HGNC:362","AK2"
"699","HGNC:24037","AK2P1"
